Title,Link,Topics,Messages
יועצים,https://example.com/categories/%D7%99%D7%95%D7%A2%D7%A6%D7%99%D7%9D.1513/,225.3K,1.5M
משפחה,https://example.com/categories/%D7%9E%D7%A9%D7%A4%D7%97%D7%94.1555/,52.9K,339.1K
דין ומשפט,https://example.com/categories/%D7%93%D7%99%D7%9F-%D7%95%D7%9E%D7%A9%D7%A4%D7%98.1567/,106.8K,400.4K
לייף סטייל,https://example.com/categories/%D7%9C%D7%99%D7%99%D7%A3-%D7%A1%D7%98%D7%99%D7%99%D7%9C.1595/,77.9K,532.9K
כלכלה,https://example.com/categories/%D7%9B%D7%9C%D7%9B%D7%9C%D7%94.1617/,59.7K,204.6K
תיירות,https://example.com/categories/%D7%AA%D7%99%D7%99%D7%A8%D7%95%D7%AA.1629/,60.1K,415K
רפואה,https://example.com/categories/%D7%A8%D7%A4%D7%95%D7%90%D7%94.1662/,104.4K,519.2K
צרכנות,https://example.com/categories/%D7%A6%D7%A8%D7%9B%D7%A0%D7%95%D7%AA.1701/,22.9K,108.1K
אירועים,https://example.com/categories/%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D.1710/,20K,114.9K
מפלגות ותנועות,https://example.com/categories/%D7%9E%D7%A4%D7%9C%D7%92%D7%95%D7%AA-%D7%95%D7%AA%D7%A0%D7%95%D7%A2%D7%95%D7%AA.1212/,79.9K,726.8K
על סדר היום,https://example.com/categories/%D7%A2%D7%9C-%D7%A1%D7%93%D7%A8-%D7%94%D7%99%D7%95%D7%9D.1233/,547.8K,5.2M
עמותות וארגונים,https://example.com/categories/%D7%A2%D7%9E%D7%95%D7%AA%D7%95%D7%AA-%D7%95%D7%90%D7%A8%D7%92%D7%95%D7%A0%D7%99%D7%9D.1275/,41.6K,414.2K
בחירות 2015,https://example.com/categories/%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA-2015.1282/,11.6K,103.2K
המומלצים,https://example.com/forums/%D7%94%D7%9E%D7%95%D7%9E%D7%9C%D7%A6%D7%99%D7%9D.2693/,525,525
פורום הסלבס של לירון הכתב,https://example.com/forums/%D7%A4%D7%95%D7%A8%D7%95%D7%9D-%D7%94%D7%A1%D7%9C%D7%91%D7%A1-%D7%A9%D7%9C-%D7%9C%D7%99%D7%A8%D7%95%D7%9F-%D7%94%D7%9B%D7%AA%D7%91.2682/,158,178
אגם רודברג,https://example.com/forums/%D7%90%D7%92%D7%9D-%D7%A8%D7%95%D7%93%D7%91%D7%A8%D7%92.925/,3.2K,87K
בר רפאלי,https://example.com/forums/%D7%91%D7%A8-%D7%A8%D7%A4%D7%90%D7%9C%D7%99.1380/,1.6K,10.1K
אלירז שדה,https://example.com/forums/%D7%90%D7%9C%D7%99%D7%A8%D7%96-%D7%A9%D7%93%D7%94.927/,2K,15.5K
אלדד גל-עד,https://example.com/forums/%D7%90%D7%9C%D7%93%D7%93-%D7%92%D7%9C-%D7%A2%D7%93.928/,963,4.6K
קולנוע,https://example.com/categories/%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2.929/,47.3K,385.6K
רדיו,https://example.com/categories/%D7%A8%D7%93%D7%99%D7%95.936/,40.3K,324.5K
טלוויזיה,https://example.com/categories/%D7%98%D7%9C%D7%95%D7%95%D7%99%D7%96%D7%99%D7%94.940/,176.2K,3.4M
ריאליטי ישראלי,https://example.com/categories/%D7%A8%D7%99%D7%90%D7%9C%D7%99%D7%98%D7%99-%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99.972/,145.1K,4.8M
תוכניות yes,https://example.com/categories/%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%95%D7%AA-yes.989/,62.2K,887.1K
תוכניות hot,https://example.com/categories/%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%95%D7%AA-hot.1021/,4.3K,26.9K
בורסה ושוק ההון,https://example.com/forums/%D7%91%D7%95%D7%A8%D7%A1%D7%94-%D7%95%D7%A9%D7%95%D7%A7-%D7%94%D7%94%D7%95%D7%9F.1722/,84.9K,506.2K
מסחר והשקעות בוול-סטריט,https://example.com/forums/%D7%9E%D7%A1%D7%97%D7%A8-%D7%95%D7%94%D7%A9%D7%A7%D7%A2%D7%95%D7%AA-%D7%91%D7%95%D7%95%D7%9C-%D7%A1%D7%98%D7%A8%D7%99%D7%98.1723/,6.4K,33.2K
"מניות ואופציות מעו""ף",https://example.com/forums/%D7%9E%D7%A0%D7%99%D7%95%D7%AA-%D7%95%D7%90%D7%95%D7%A4%D7%A6%D7%99%D7%95%D7%AA-%D7%9E%D7%A2%D7%95-%D7%A3.1724/,77.4K,584.8K
"מסחר במט""ח - Forex",https://example.com/forums/%D7%9E%D7%A1%D7%97%D7%A8-%D7%91%D7%9E%D7%98-%D7%97-forex.1725/,8.3K,27K
לימודי שוק ההון,https://example.com/forums/%D7%9C%D7%99%D7%9E%D7%95%D7%93%D7%99-%D7%A9%D7%95%D7%A7-%D7%94%D7%94%D7%95%D7%9F.1726/,2K,4.7K
"הזדמנות ישראלית יה""ש",https://example.com/forums/%D7%94%D7%96%D7%93%D7%9E%D7%A0%D7%95%D7%AA-%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%AA-%D7%99%D7%94-%D7%A9.1727/,6.4K,33.5K
גבעות עולם,https://example.com/forums/%D7%92%D7%91%D7%A2%D7%95%D7%AA-%D7%A2%D7%95%D7%9C%D7%9D.1728/,2.4K,9.1K
ישראמקו,https://example.com/forums/%D7%99%D7%A9%D7%A8%D7%90%D7%9E%D7%A7%D7%95.1729/,2.3K,5.2K
"הילה והבאגים בע""מ",https://example.com/forums/%D7%94%D7%99%D7%9C%D7%94-%D7%95%D7%94%D7%91%D7%90%D7%92%D7%99%D7%9D-%D7%91%D7%A2-%D7%9E.1286/,601,1.5K
טיולי קרוואנים,https://example.com/forums/%D7%98%D7%99%D7%95%D7%9C%D7%99-%D7%A7%D7%A8%D7%95%D7%95%D7%90%D7%A0%D7%99%D7%9D.1290/,1,1
ביטוחי דירות רכבים,https://example.com/forums/%D7%91%D7%99%D7%98%D7%95%D7%97%D7%99-%D7%93%D7%99%D7%A8%D7%95%D7%AA-%D7%A8%D7%9B%D7%91%D7%99%D7%9D.1291/,1,1
סיורים מאורגנים בישראל,https://example.com/forums/%D7%A1%D7%99%D7%95%D7%A8%D7%99%D7%9D-%D7%9E%D7%90%D7%95%D7%A8%D7%92%D7%A0%D7%99%D7%9D-%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C.1292/,1,1
אוכל,https://example.com/categories/%D7%90%D7%95%D7%9B%D7%9C.1293/,286.8K,2.2M
משקאות,https://example.com/categories/%D7%9E%D7%A9%D7%A7%D7%90%D7%95%D7%AA.1308/,25.6K,145.6K
אומנות באוכל,https://example.com/categories/%D7%90%D7%95%D7%9E%D7%A0%D7%95%D7%AA-%D7%91%D7%90%D7%95%D7%9B%D7%9C.1312/,25.2K,267.5K
חורזים וכותבים,https://example.com/forums/%D7%97%D7%95%D7%A8%D7%96%D7%99%D7%9D-%D7%95%D7%9B%D7%95%D7%AA%D7%91%D7%99%D7%9D.1771/,13K,165K
משפחות חד הוריות,https://example.com/forums/%D7%9E%D7%A9%D7%A4%D7%97%D7%95%D7%AA-%D7%97%D7%93-%D7%94%D7%95%D7%A8%D7%99%D7%95%D7%AA.21/,5.1K,30.6K
זוגיות,https://example.com/categories/%D7%96%D7%95%D7%92%D7%99%D7%95%D7%AA.22/,255.2K,3.8M
פוריות,https://example.com/categories/%D7%A4%D7%95%D7%A8%D7%99%D7%95%D7%AA.33/,113.5K,1M
הורות,https://example.com/categories/%D7%94%D7%95%D7%A8%D7%95%D7%AA.39/,480.4K,6.6M
תמיכה,https://example.com/categories/%D7%AA%D7%9E%D7%99%D7%9B%D7%94.67/,78.7K,573.5K
ייעוץ מומחים,https://example.com/categories/%D7%99%D7%99%D7%A2%D7%95%D7%A5-%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D.82/,2.6K,5.7K
הריון ולידה,https://example.com/categories/%D7%94%D7%A8%D7%99%D7%95%D7%9F-%D7%95%D7%9C%D7%99%D7%93%D7%94.87/,257K,3.1M
תא משפחתי,https://example.com/categories/%D7%AA%D7%90-%D7%9E%D7%A9%D7%A4%D7%97%D7%AA%D7%99.94/,72.7K,777.8K
הנקה,https://example.com/categories/%D7%94%D7%A0%D7%A7%D7%94.106/,39.6K,574.9K
פורום עסקים ואשרות באמירויות,https://example.com/forums/%D7%A4%D7%95%D7%A8%D7%95%D7%9D-%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%95%D7%90%D7%A9%D7%A8%D7%95%D7%AA-%D7%91%D7%90%D7%9E%D7%99%D7%A8%D7%95%D7%99%D7%95%D7%AA.2691/,51,67
חוק ומשפט,https://example.com/forums/%D7%97%D7%95%D7%A7-%D7%95%D7%9E%D7%A9%D7%A4%D7%98.1446/,42.8K,211.6K
"ויזה ואזרחות בארה""ב",https://example.com/forums/%D7%95%D7%99%D7%96%D7%94-%D7%95%D7%90%D7%96%D7%A8%D7%97%D7%95%D7%AA-%D7%91%D7%90%D7%A8%D7%94-%D7%91.1455/,121,238
משפט האינטרנט וההיי-טק,https://example.com/forums/%D7%9E%D7%A9%D7%A4%D7%98-%D7%94%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98-%D7%95%D7%94%D7%94%D7%99%D7%99-%D7%98%D7%A7.1447/,4.6K,18.7K
חשבון מוגבל,https://example.com/forums/%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%95%D7%92%D7%91%D7%9C.1456/,22,31
הוצאה לפועל ופשיטת רגל,https://example.com/forums/%D7%94%D7%95%D7%A6%D7%90%D7%94-%D7%9C%D7%A4%D7%95%D7%A2%D7%9C-%D7%95%D7%A4%D7%A9%D7%99%D7%98%D7%AA-%D7%A8%D7%92%D7%9C.1448/,5.5K,14.4K
דיני חוזים,https://example.com/forums/%D7%93%D7%99%D7%A0%D7%99-%D7%97%D7%95%D7%96%D7%99%D7%9D.1449/,8.7K,29.3K
ביטוח לאומי - סיוע,https://example.com/forums/%D7%91%D7%99%D7%98%D7%95%D7%97-%D7%9C%D7%90%D7%95%D7%9E%D7%99-%D7%A1%D7%99%D7%95%D7%A2.1450/,25.5K,67.9K
פשיטת רגל,https://example.com/forums/%D7%A4%D7%A9%D7%99%D7%98%D7%AA-%D7%A8%D7%92%D7%9C.1451/,1.4K,3.4K
תביעות קטנות,https://example.com/forums/%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%A7%D7%98%D7%A0%D7%95%D7%AA.1452/,2.3K,5.6K
בירוקרטיה,https://example.com/forums/%D7%91%D7%99%D7%A8%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94.1453/,294,441
קבוצות גיל,https://example.com/categories/%D7%A7%D7%91%D7%95%D7%A6%D7%95%D7%AA-%D7%92%D7%99%D7%9C.1381/,174.9K,2M
הכל דיבורים,https://example.com/categories/%D7%94%D7%9B%D7%9C-%D7%93%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%9D.1388/,351K,4.4M
אמונה,https://example.com/categories/%D7%90%D7%9E%D7%95%D7%A0%D7%94.1423/,76.9K,897K
דרך חיים,https://example.com/categories/%D7%93%D7%A8%D7%9A-%D7%97%D7%99%D7%99%D7%9D.1433/,53.2K,955K
צביעה בהתזה,https://example.com/forums/%D7%A6%D7%91%D7%99%D7%A2%D7%94-%D7%91%D7%94%D7%AA%D7%96%D7%94.1458/,33,56
אומנות שימושית,https://example.com/categories/%D7%90%D7%95%D7%9E%D7%A0%D7%95%D7%AA-%D7%A9%D7%99%D7%9E%D7%95%D7%A9%D7%99%D7%AA.1459/,261.9K,2.8M
אחזקה וניהול בית,https://example.com/categories/%D7%90%D7%97%D7%96%D7%A7%D7%94-%D7%95%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%91%D7%99%D7%AA.1478/,145.9K,935.8K
דרום,https://example.com/categories/%D7%93%D7%A8%D7%95%D7%9D.1490/,15.5K,90.4K
השרון,https://example.com/categories/%D7%94%D7%A9%D7%A8%D7%95%D7%9F.1492/,12.7K,85.4K
מרכז,https://example.com/categories/%D7%9E%D7%A8%D7%9B%D7%96.1497/,25.9K,136.5K
ירושלים והסביבה,https://example.com/categories/%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D-%D7%95%D7%94%D7%A1%D7%91%D7%99%D7%91%D7%94.1505/,54.9K,321.7K
צפון,https://example.com/categories/%D7%A6%D7%A4%D7%95%D7%9F.1510/,11.8K,70.5K
ייעוץ פיננסי,https://example.com/categories/%D7%99%D7%99%D7%A2%D7%95%D7%A5-%D7%A4%D7%99%D7%A0%D7%A0%D7%A1%D7%99.1731/,68.4K,359.1K
כלכלה,https://example.com/categories/%D7%9B%D7%9C%D7%9B%D7%9C%D7%94.1735/,9.7K,35.9K
המומחים,https://example.com/categories/%D7%94%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D.1738/,184,234
סייבר ואבטחת מידע,https://example.com/forums/%D7%A1%D7%99%D7%99%D7%91%D7%A8-%D7%95%D7%90%D7%91%D7%98%D7%97%D7%AA-%D7%9E%D7%99%D7%93%D7%A2.2692/,88,162
קניות באינטרנט,https://example.com/categories/%D7%A7%D7%A0%D7%99%D7%95%D7%AA-%D7%91%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98.1746/,8.4K,48.5K
גלישה ברשת,https://example.com/categories/%D7%92%D7%9C%D7%99%D7%A9%D7%94-%D7%91%D7%A8%D7%A9%D7%AA.1749/,16.4K,95.3K
בניית וקידום אתרים,https://example.com/categories/%D7%91%D7%A0%D7%99%D7%99%D7%AA-%D7%95%D7%A7%D7%99%D7%93%D7%95%D7%9D-%D7%90%D7%AA%D7%A8%D7%99%D7%9D.1753/,54.6K,295.3K
טבע,https://example.com/categories/%D7%98%D7%91%D7%A2.1757/,32K,258.1K
מזג אוויר,https://example.com/categories/%D7%9E%D7%96%D7%92-%D7%90%D7%95%D7%95%D7%99%D7%A8.1763/,164.2K,1.6M
חתונות,https://example.com/forums/%D7%97%D7%AA%D7%95%D7%A0%D7%95%D7%AA.1767/,100K,1.1M
ימי הולדת ומתנות,https://example.com/forums/%D7%99%D7%9E%D7%99-%D7%94%D7%95%D7%9C%D7%93%D7%AA-%D7%95%D7%9E%D7%AA%D7%A0%D7%95%D7%AA.1768/,34K,218.9K
רק אהבה,https://example.com/forums/%D7%A8%D7%A7-%D7%90%D7%94%D7%91%D7%94.2680/,85,123
צופי אש ומתנדבים,https://example.com/forums/%D7%A6%D7%95%D7%A4%D7%99-%D7%90%D7%A9-%D7%95%D7%9E%D7%AA%D7%A0%D7%93%D7%91%D7%99%D7%9D.6/,136,233
זוגיות,https://example.com/categories/%D7%96%D7%95%D7%92%D7%99%D7%95%D7%AA.7/,79.7K,934.6K
הכרויות,https://example.com/categories/%D7%94%D7%9B%D7%A8%D7%95%D7%99%D7%95%D7%AA.14/,87.8K,1.2M
יוגה,https://example.com/forums/%D7%99%D7%95%D7%92%D7%94.111/,5.3K,12.7K
זן והעיר הגדולה,https://example.com/forums/%D7%96%D7%9F-%D7%95%D7%94%D7%A2%D7%99%D7%A8-%D7%94%D7%92%D7%93%D7%95%D7%9C%D7%94.112/,1K,3.8K
שיחות עם אלוהים,https://example.com/forums/%D7%A9%D7%99%D7%97%D7%95%D7%AA-%D7%A2%D7%9D-%D7%90%D7%9C%D7%95%D7%94%D7%99%D7%9D.113/,2.3K,12.6K
ארבע ההסכמות,https://example.com/forums/%D7%90%D7%A8%D7%91%D7%A2-%D7%94%D7%94%D7%A1%D7%9B%D7%9E%D7%95%D7%AA.114/,1.5K,9.9K
שלמות פנימית,https://example.com/forums/%D7%A9%D7%9C%D7%9E%D7%95%D7%AA-%D7%A4%D7%A0%D7%99%D7%9E%D7%99%D7%AA.115/,2.7K,16.9K
ביקורת המקרא,https://example.com/forums/%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA-%D7%94%D7%9E%D7%A7%D7%A8%D7%90.116/,229,1.1K
רייקי לצעירים,https://example.com/forums/%D7%A8%D7%99%D7%99%D7%A7%D7%99-%D7%9C%D7%A6%D7%A2%D7%99%D7%A8%D7%99%D7%9D.117/,627,2.8K
העצמה אישית,https://example.com/forums/%D7%94%D7%A2%D7%A6%D7%9E%D7%94-%D7%90%D7%99%D7%A9%D7%99%D7%AA.118/,474,7.7K
השנה שלי -תוכנית לשינוי,https://example.com/forums/%D7%94%D7%A9%D7%A0%D7%94-%D7%A9%D7%9C%D7%99-%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%AA-%D7%9C%D7%A9%D7%99%D7%A0%D7%95%D7%99.119/,3.2K,30K
אבחון וייעוץ,https://example.com/categories/%D7%90%D7%91%D7%97%D7%95%D7%9F-%D7%95%D7%99%D7%99%D7%A2%D7%95%D7%A5.120/,123.7K,675.9K
רוחניות והעידן החדש,https://example.com/categories/%D7%A8%D7%95%D7%97%D7%A0%D7%99%D7%95%D7%AA-%D7%95%D7%94%D7%A2%D7%99%D7%93%D7%9F-%D7%94%D7%97%D7%93%D7%A9.140/,88.7K,758.4K
העצמה אישית,https://example.com/categories/%D7%94%D7%A2%D7%A6%D7%9E%D7%94-%D7%90%D7%99%D7%A9%D7%99%D7%AA.162/,36.3K,340.6K
תזונה,https://example.com/categories/%D7%AA%D7%96%D7%95%D7%A0%D7%94.171/,120.7K,1.1M
תמיכה,https://example.com/categories/%D7%AA%D7%9E%D7%99%D7%9B%D7%94.181/,93.6K,538.5K
מומחים,https://example.com/categories/%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D.203/,55.5K,283.2K
"המרכז הרפואי ת""א – רפואה כללית",https://example.com/categories/%D7%94%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%AA-%D7%90-%E2%80%93-%D7%A8%D7%A4%D7%95%D7%90%D7%94-%D7%9B%D7%9C%D7%9C%D7%99%D7%AA.222/,85.1K,181.8K
"המרכז הרפואי ת""א – רפואת ילדים",https://example.com/categories/%D7%94%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%AA-%D7%90-%E2%80%93-%D7%A8%D7%A4%D7%95%D7%90%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D.257/,22.4K,49.3K
"המרכז הרפואי ת""א – רפואת נשים",https://example.com/categories/%D7%94%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%AA-%D7%90-%E2%80%93-%D7%A8%D7%A4%D7%95%D7%90%D7%AA-%D7%A0%D7%A9%D7%99%D7%9D.266/,40.8K,88.7K
מקצועות הרפואה י-ם,https://example.com/forums/%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%95%D7%AA-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%94-%D7%99-%D7%9D.274/,3.1K,13.2K
למידה מרחוק,https://example.com/forums/%D7%9C%D7%9E%D7%99%D7%93%D7%94-%D7%9E%D7%A8%D7%97%D7%95%D7%A7.275/,303,789
אתרים בית ספריים,https://example.com/forums/%D7%90%D7%AA%D7%A8%D7%99%D7%9D-%D7%91%D7%99%D7%AA-%D7%A1%D7%A4%D7%A8%D7%99%D7%99%D7%9D.276/,881,5.9K
מדעי המדינה-סטודנטים,https://example.com/forums/%D7%9E%D7%93%D7%A2%D7%99-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%A1%D7%98%D7%95%D7%93%D7%A0%D7%98%D7%99%D7%9D.277/,2K,5.6K
מפתחים צעירים,https://example.com/forums/%D7%9E%D7%A4%D7%AA%D7%97%D7%99%D7%9D-%D7%A6%D7%A2%D7%99%D7%A8%D7%99%D7%9D.278/,121,360
עירוני ג חיפה,https://example.com/forums/%D7%A2%D7%99%D7%A8%D7%95%D7%A0%D7%99-%D7%92-%D7%97%D7%99%D7%A4%D7%94.279/,3.2K,14.6K
המכללה האקדמית למשפטים,https://example.com/forums/%D7%94%D7%9E%D7%9B%D7%9C%D7%9C%D7%94-%D7%94%D7%90%D7%A7%D7%93%D7%9E%D7%99%D7%AA-%D7%9C%D7%9E%D7%A9%D7%A4%D7%98%D7%99%D7%9D.280/,2.9K,8.2K
סלולארי חברתי,https://example.com/forums/%D7%A1%D7%9C%D7%95%D7%9C%D7%90%D7%A8%D7%99-%D7%97%D7%91%D7%A8%D7%AA%D7%99.281/,217,2.4K
בר אילן - לימודי מידע,https://example.com/forums/%D7%91%D7%A8-%D7%90%D7%99%D7%9C%D7%9F-%D7%9C%D7%99%D7%9E%D7%95%D7%93%D7%99-%D7%9E%D7%99%D7%93%D7%A2.282/,2.6K,8.7K
מחוננים,https://example.com/forums/%D7%9E%D7%97%D7%95%D7%A0%D7%A0%D7%99%D7%9D.283/,1.4K,10.4K
מסלול אקדמי מכללה למנהל,https://example.com/forums/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C-%D7%90%D7%A7%D7%93%D7%9E%D7%99-%D7%9E%D7%9B%D7%9C%D7%9C%D7%94-%D7%9C%D7%9E%D7%A0%D7%94%D7%9C.284/,53,369
זכויות הורים ותלמידים,https://example.com/forums/%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%94%D7%95%D7%A8%D7%99%D7%9D-%D7%95%D7%AA%D7%9C%D7%9E%D7%99%D7%93%D7%99%D7%9D.285/,902,2.9K
הסגל האקדמי הזוטר באת`א,https://example.com/forums/%D7%94%D7%A1%D7%92%D7%9C-%D7%94%D7%90%D7%A7%D7%93%D7%9E%D7%99-%D7%94%D7%96%D7%95%D7%98%D7%A8-%D7%91%D7%90%D7%AA-%D7%90.286/,80,158
פרויקט לגדול בצבע,https://example.com/forums/%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-%D7%9C%D7%92%D7%93%D7%95%D7%9C-%D7%91%D7%A6%D7%91%D7%A2.287/,107,325
שפות עתיקות,https://example.com/forums/%D7%A9%D7%A4%D7%95%D7%AA-%D7%A2%D7%AA%D7%99%D7%A7%D7%95%D7%AA.288/,385,2.5K
הנדסאים,https://example.com/forums/%D7%94%D7%A0%D7%93%D7%A1%D7%90%D7%99%D7%9D.289/,392,1.2K
תורה שבעל פה,https://example.com/forums/%D7%AA%D7%95%D7%A8%D7%94-%D7%A9%D7%91%D7%A2%D7%9C-%D7%A4%D7%94.290/,820,4.3K
חינוך,https://example.com/categories/%D7%97%D7%99%D7%A0%D7%95%D7%9A.291/,58.2K,302.1K
מדע,https://example.com/categories/%D7%9E%D7%93%D7%A2.297/,13.8K,130.8K
יעוץ וסיוע,https://example.com/categories/%D7%99%D7%A2%D7%95%D7%A5-%D7%95%D7%A1%D7%99%D7%95%D7%A2.302/,46.7K,457.6K
השכלה גבוהה ומוסדות לימוד,https://example.com/categories/%D7%94%D7%A9%D7%9B%D7%9C%D7%94-%D7%92%D7%91%D7%95%D7%94%D7%94-%D7%95%D7%9E%D7%95%D7%A1%D7%93%D7%95%D7%AA-%D7%9C%D7%99%D7%9E%D7%95%D7%93.306/,165.8K,1.2M
מקצועות לימוד,https://example.com/categories/%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%95%D7%AA-%D7%9C%D7%99%D7%9E%D7%95%D7%93.323/,117.9K,873.3K
