Title,Link,Topics,Messages
אמנות,https://example.com/categories/%D7%90%D7%9E%D7%A0%D7%95%D7%AA.342/,262.3K,2M
תרבויות ושפות,https://example.com/categories/%D7%AA%D7%A8%D7%91%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%A9%D7%A4%D7%95%D7%AA.360/,162.9K,1.3M
ריקודים,https://example.com/categories/%D7%A8%D7%99%D7%A7%D7%95%D7%93%D7%99%D7%9D.392/,28K,261.5K
ספרות ושירה,https://example.com/categories/%D7%A1%D7%A4%D7%A8%D7%95%D7%AA-%D7%95%D7%A9%D7%99%D7%A8%D7%94.396/,158.6K,1.3M
מינהל עסקים והבראתם,https://example.com/forums/%D7%9E%D7%99%D7%A0%D7%94%D7%9C-%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%95%D7%94%D7%91%D7%A8%D7%90%D7%AA%D7%9D.411/,545,1.3K
כלכלה וחברה,https://example.com/forums/%D7%9B%D7%9C%D7%9B%D7%9C%D7%94-%D7%95%D7%97%D7%91%D7%A8%D7%94.412/,765,6.7K
יחסי ציבור,https://example.com/forums/%D7%99%D7%97%D7%A1%D7%99-%D7%A6%D7%99%D7%91%D7%95%D7%A8.413/,4.8K,16.5K
מנהלות בהיי-טק,https://example.com/forums/%D7%9E%D7%A0%D7%94%D7%9C%D7%95%D7%AA-%D7%91%D7%94%D7%99%D7%99-%D7%98%D7%A7.414/,312,371
משאבי אנוש והדרכה,https://example.com/forums/%D7%9E%D7%A9%D7%90%D7%91%D7%99-%D7%90%D7%A0%D7%95%D7%A9-%D7%95%D7%94%D7%93%D7%A8%D7%9B%D7%94.415/,1.7K,4.3K
יחסים בעבודה,https://example.com/forums/%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%91%D7%A2%D7%91%D7%95%D7%93%D7%94.416/,1.6K,5.9K
מתוסכלים בעבודה,https://example.com/forums/%D7%9E%D7%AA%D7%95%D7%A1%D7%9B%D7%9C%D7%99%D7%9D-%D7%91%D7%A2%D7%91%D7%95%D7%93%D7%94.417/,29,53
מיתוג,https://example.com/forums/%D7%9E%D7%99%D7%AA%D7%95%D7%92.418/,74,279
מנהלים ובוסים בעבודה,https://example.com/forums/%D7%9E%D7%A0%D7%94%D7%9C%D7%99%D7%9D-%D7%95%D7%91%D7%95%D7%A1%D7%99%D7%9D-%D7%91%D7%A2%D7%91%D7%95%D7%93%D7%94.419/,106,169
מקצועות,https://example.com/categories/%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%95%D7%AA.420/,67.1K,455.9K
"נדל""ן",https://example.com/categories/%D7%A0%D7%93%D7%9C-%D7%9F.426/,134,417
ניהול עסק,https://example.com/categories/%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%A2%D7%A1%D7%A7.428/,33K,166.5K
קריירה,https://example.com/categories/%D7%A7%D7%A8%D7%99%D7%99%D7%A8%D7%94.431/,32K,112K
נשים בספורט,https://example.com/forums/%D7%A0%D7%A9%D7%99%D7%9D-%D7%91%D7%A1%D7%A4%D7%95%D7%A8%D7%98.436/,8.8K,132.9K
קבוצות ואוהדים,https://example.com/categories/%D7%A7%D7%91%D7%95%D7%A6%D7%95%D7%AA-%D7%95%D7%90%D7%95%D7%94%D7%93%D7%99%D7%9D.437/,260.3K,1.6M
מוטוריקה,https://example.com/categories/%D7%9E%D7%95%D7%98%D7%95%D7%A8%D7%99%D7%A7%D7%94.449/,255.6K,2.5M
ספורט אתגרי,https://example.com/categories/%D7%A1%D7%A4%D7%95%D7%A8%D7%98-%D7%90%D7%AA%D7%92%D7%A8%D7%99.466/,110.8K,848.8K
אופניים,https://example.com/categories/%D7%90%D7%95%D7%A4%D7%A0%D7%99%D7%99%D7%9D.480/,166.8K,1.1M
כושר ואימון,https://example.com/categories/%D7%9B%D7%95%D7%A9%D7%A8-%D7%95%D7%90%D7%99%D7%9E%D7%95%D7%9F.488/,64.6K,430K
ענפי ספורט,https://example.com/categories/%D7%A2%D7%A0%D7%A4%D7%99-%D7%A1%D7%A4%D7%95%D7%A8%D7%98.495/,286.9K,2.3M
אמנויות לחימה,https://example.com/categories/%D7%90%D7%9E%D7%A0%D7%95%D7%99%D7%95%D7%AA-%D7%9C%D7%97%D7%99%D7%9E%D7%94.514/,42.4K,513.1K
כדורסל,https://example.com/categories/%D7%9B%D7%93%D7%95%D7%A8%D7%A1%D7%9C.520/,30.8K,411K
כדורגל,https://example.com/categories/%D7%9B%D7%93%D7%95%D7%A8%D7%92%D7%9C.523/,53.3K,515.9K
התמכרויות,https://example.com/forums/%D7%94%D7%AA%D7%9E%D7%9B%D7%A8%D7%95%D7%99%D7%95%D7%AA.527/,2.8K,14.4K
בריאות נפש-שיקום והחלמה,https://example.com/forums/%D7%91%D7%A8%D7%99%D7%90%D7%95%D7%AA-%D7%A0%D7%A4%D7%A9-%D7%A9%D7%99%D7%A7%D7%95%D7%9D-%D7%95%D7%94%D7%97%D7%9C%D7%9E%D7%94.528/,947,4K
פורום gov.il,https://example.com/forums/%D7%A4%D7%95%D7%A8%D7%95%D7%9D-gov-il.529/,863,1.8K
"עזרה נפשית ברשת- סה""ר",https://example.com/categories/%D7%A2%D7%96%D7%A8%D7%94-%D7%A0%D7%A4%D7%A9%D7%99%D7%AA-%D7%91%D7%A8%D7%A9%D7%AA-%D7%A1%D7%94-%D7%A8.532/,32.5K,222.2K
בריאות,https://example.com/categories/%D7%91%D7%A8%D7%99%D7%90%D7%95%D7%AA.538/,156.8K,1.2M
סיוע,https://example.com/categories/%D7%A1%D7%99%D7%95%D7%A2.551/,76K,480.1K
תמיכה מקצועית,https://example.com/categories/%D7%AA%D7%9E%D7%99%D7%9B%D7%94-%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%99%D7%AA.567/,23.4K,134.4K
חיים עם השכול,https://example.com/categories/%D7%97%D7%99%D7%99%D7%9D-%D7%A2%D7%9D-%D7%94%D7%A9%D7%9B%D7%95%D7%9C.576/,27.2K,138.2K
ביקורת אתרים והמלצות,https://example.com/forums/%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA-%D7%90%D7%AA%D7%A8%D7%99%D7%9D-%D7%95%D7%94%D7%9E%D7%9C%D7%A6%D7%95%D7%AA.585/,9K,33.3K
יומנה של שלומצי,https://example.com/forums/%D7%99%D7%95%D7%9E%D7%A0%D7%94-%D7%A9%D7%9C-%D7%A9%D7%9C%D7%95%D7%9E%D7%A6%D7%99.586/,5.2K,33.5K
פלאש,https://example.com/forums/%D7%A4%D7%9C%D7%90%D7%A9.587/,22.4K,100.7K
תכנות ASP חברתי,https://example.com/forums/%D7%AA%D7%9B%D7%A0%D7%95%D7%AA-asp-%D7%97%D7%91%D7%A8%D7%AA%D7%99.588/,4.5K,42.2K
סאפ - SAP,https://example.com/forums/%D7%A1%D7%90%D7%A4-sap.589/,173,392
רינגטונים וטפטים,https://example.com/forums/%D7%A8%D7%99%D7%A0%D7%92%D7%98%D7%95%D7%A0%D7%99%D7%9D-%D7%95%D7%98%D7%A4%D7%98%D7%99%D7%9D.599/,1.2K,2.7K
אמ-יו-אונליין,https://example.com/forums/%D7%90%D7%9E-%D7%99%D7%95-%D7%90%D7%95%D7%A0%D7%9C%D7%99%D7%99%D7%9F.600/,1.3K,4.4K
מדעי המחשב,https://example.com/forums/%D7%9E%D7%93%D7%A2%D7%99-%D7%94%D7%9E%D7%97%D7%A9%D7%91.601/,3.1K,19.8K
Blackberry,https://example.com/forums/blackberry.603/,206,378
iPhone,https://example.com/forums/iphone.604/,215,477
אפליקציות,https://example.com/forums/%D7%90%D7%A4%D7%9C%D7%99%D7%A7%D7%A6%D7%99%D7%95%D7%AA.606/,140,214
טאבלט,https://example.com/forums/%D7%98%D7%90%D7%91%D7%9C%D7%98.607/,72,101
Nokia,https://example.com/forums/nokia.608/,95,181
שפות וטכנולוגיה,https://example.com/categories/%D7%A9%D7%A4%D7%95%D7%AA-%D7%95%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%94.611/,147.8K,851.4K
תמיכה טכנית,https://example.com/categories/%D7%AA%D7%9E%D7%99%D7%9B%D7%94-%D7%98%D7%9B%D7%A0%D7%99%D7%AA.628/,559.9K,2.5M
גדג`טס,https://example.com/categories/%D7%92%D7%93%D7%92-%D7%98%D7%A1.640/,186.6K,1.2M
סיוע בתפוז,https://example.com/categories/%D7%A1%D7%99%D7%95%D7%A2-%D7%91%D7%AA%D7%A4%D7%95%D7%96.648/,165K,876.6K
משחקים,https://example.com/categories/%D7%9E%D7%A9%D7%97%D7%A7%D7%99%D7%9D.672/,197.2K,2.2M
אינטרנט,https://example.com/categories/%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98.692/,45.9K,244.2K
מחשוב ומידע,https://example.com/categories/%D7%9E%D7%97%D7%A9%D7%95%D7%91-%D7%95%D7%9E%D7%99%D7%93%D7%A2.699/,99.3K,478.7K
כלי נגינה,https://example.com/categories/%D7%9B%D7%9C%D7%99-%D7%A0%D7%92%D7%99%D7%A0%D7%94.711/,43.9K,347.4K
ז`אנר,https://example.com/categories/%D7%96-%D7%90%D7%A0%D7%A8.719/,635K,5.5M
עברי,https://example.com/categories/%D7%A2%D7%91%D7%A8%D7%99.761/,312.8K,3.7M
לועזי,https://example.com/categories/%D7%9C%D7%95%D7%A2%D7%96%D7%99.864/,212.3K,3.6M
"ישראלים בחו""ל",https://example.com/forums/%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%9D-%D7%91%D7%97%D7%95-%D7%9C.1029/,36.4K,384.7K
עוברים לארצות הברית,https://example.com/forums/%D7%A2%D7%95%D7%91%D7%A8%D7%99%D7%9D-%D7%9C%D7%90%D7%A8%D7%A6%D7%95%D7%AA-%D7%94%D7%91%D7%A8%D7%99%D7%AA.1030/,26.7K,189.8K
נוער בחו``ל,https://example.com/forums/%D7%A0%D7%95%D7%A2%D7%A8-%D7%91%D7%97%D7%95-%D7%9C.1031/,5.2K,49.7K
"להיות הורים בחו""ל",https://example.com/forums/%D7%9C%D7%94%D7%99%D7%95%D7%AA-%D7%94%D7%95%D7%A8%D7%99%D7%9D-%D7%91%D7%97%D7%95-%D7%9C.1032/,12.4K,128.6K
ישראלים בקנדה,https://example.com/forums/%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%9D-%D7%91%D7%A7%D7%A0%D7%93%D7%94.1033/,20.4K,143K
ישראלים באירופה,https://example.com/forums/%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%9D-%D7%91%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94.1034/,13.7K,147.4K
ישראלים באוסטרליה וניו זילנד,https://example.com/forums/%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%9D-%D7%91%D7%90%D7%95%D7%A1%D7%98%D7%A8%D7%9C%D7%99%D7%94-%D7%95%D7%A0%D7%99%D7%95-%D7%96%D7%99%D7%9C%D7%A0%D7%93.1035/,16.8K,119.6K
"לומדים בחו""ל",https://example.com/forums/%D7%9C%D7%95%D7%9E%D7%93%D7%99%D7%9D-%D7%91%D7%97%D7%95-%D7%9C.1036/,9.8K,55.8K
עוברים לאירופה,https://example.com/forums/%D7%A2%D7%95%D7%91%D7%A8%D7%99%D7%9D-%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94.1037/,8.9K,50.6K
עוברים לקנדה - הגירה,https://example.com/forums/%D7%A2%D7%95%D7%91%D7%A8%D7%99%D7%9D-%D7%9C%D7%A7%D7%A0%D7%93%D7%94-%D7%94%D7%92%D7%99%D7%A8%D7%94.1038/,16.5K,103.8K
ישראלים בהולנד,https://example.com/forums/%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%9D-%D7%91%D7%94%D7%95%D7%9C%D7%A0%D7%93.1039/,3.7K,27.1K
ישראלים באפריקה,https://example.com/forums/%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%9D-%D7%91%D7%90%D7%A4%D7%A8%D7%99%D7%A7%D7%94.1040/,465,2.2K
חוזרים לארץ,https://example.com/forums/%D7%97%D7%95%D7%96%D7%A8%D7%99%D7%9D-%D7%9C%D7%90%D7%A8%D7%A5.1041/,586,2.8K
ישראלים בארצות הברית,https://example.com/forums/%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%9D-%D7%91%D7%90%D7%A8%D7%A6%D7%95%D7%AA-%D7%94%D7%91%D7%A8%D7%99%D7%AA.1042/,1.3K,22.9K
"עוברים לארה""ב",https://example.com/forums/%D7%A2%D7%95%D7%91%D7%A8%D7%99%D7%9D-%D7%9C%D7%90%D7%A8%D7%94-%D7%91.1043/,489,3.1K
אגדות חיות (RD&D),https://example.com/forums/%D7%90%D7%92%D7%93%D7%95%D7%AA-%D7%97%D7%99%D7%95%D7%AA-rd-d.1045/,993,8.9K
דרקונים,https://example.com/forums/%D7%93%D7%A8%D7%A7%D7%95%D7%A0%D7%99%D7%9D.1046/,238,847
אמנות הפנטזיה,https://example.com/forums/%D7%90%D7%9E%D7%A0%D7%95%D7%AA-%D7%94%D7%A4%D7%A0%D7%98%D7%96%D7%99%D7%94.1047/,132,990
"מארוול, הנוקמים וסוכני שילד",https://example.com/forums/%D7%9E%D7%90%D7%A8%D7%95%D7%95%D7%9C-%D7%94%D7%A0%D7%95%D7%A7%D7%9E%D7%99%D7%9D-%D7%95%D7%A1%D7%95%D7%9B%D7%A0%D7%99-%D7%A9%D7%99%D7%9C%D7%93.1048/,1.9K,9.4K
"ספרות, דמיון ופנטזיה",https://example.com/categories/%D7%A1%D7%A4%D7%A8%D7%95%D7%AA-%D7%93%D7%9E%D7%99%D7%95%D7%9F-%D7%95%D7%A4%D7%A0%D7%98%D7%96%D7%99%D7%94.1049/,72.3K,1.1M
טלוויזיה וקולנוע,https://example.com/categories/%D7%98%D7%9C%D7%95%D7%95%D7%99%D7%96%D7%99%D7%94-%D7%95%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2.1062/,73.6K,1.2M
חתולים,https://example.com/forums/%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D.1086/,90.7K,825.6K
זכויות בעלי חיים,https://example.com/forums/%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%91%D7%A2%D7%9C%D7%99-%D7%97%D7%99%D7%99%D7%9D.1087/,16.1K,182.2K
סוסים,https://example.com/forums/%D7%A1%D7%95%D7%A1%D7%99%D7%9D.1088/,9.7K,113.1K
כלבים,https://example.com/forums/%D7%9B%D7%9C%D7%91%D7%99%D7%9D.1089/,70.8K,716.2K
ציפורים בטבע וצפרות,https://example.com/forums/%D7%A6%D7%99%D7%A4%D7%95%D7%A8%D7%99%D7%9D-%D7%91%D7%98%D7%91%D7%A2-%D7%95%D7%A6%D7%A4%D7%A8%D7%95%D7%AA.1090/,22.3K,155.7K
אימוץ בעלי חיים והתנדבות,https://example.com/forums/%D7%90%D7%99%D7%9E%D7%95%D7%A5-%D7%91%D7%A2%D7%9C%D7%99-%D7%97%D7%99%D7%99%D7%9D-%D7%95%D7%94%D7%AA%D7%A0%D7%93%D7%91%D7%95%D7%AA.1091/,10K,82.3K
חמוסים,https://example.com/forums/%D7%97%D7%9E%D7%95%D7%A1%D7%99%D7%9D.1092/,5.7K,44.1K
מכרסמים וארנבונים,https://example.com/forums/%D7%9E%D7%9B%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%95%D7%90%D7%A8%D7%A0%D7%91%D7%95%D7%A0%D7%99%D7%9D.1093/,9.4K,67.9K
טבע פראי וחיות בר,https://example.com/forums/%D7%98%D7%91%D7%A2-%D7%A4%D7%A8%D7%90%D7%99-%D7%95%D7%97%D7%99%D7%95%D7%AA-%D7%91%D7%A8.1094/,6K,34.5K
גאווה,https://example.com/forums/%D7%92%D7%90%D7%95%D7%95%D7%94.1098/,9K,68.5K
בנים בלבד,https://example.com/forums/%D7%91%D7%A0%D7%99%D7%9D-%D7%91%D7%9C%D7%91%D7%93.1099/,16.3K,247.6K
צבא וגאווה,https://example.com/forums/%D7%A6%D7%91%D7%90-%D7%95%D7%92%D7%90%D7%95%D7%95%D7%94.1100/,3K,18K
גאווה בחו``ל,https://example.com/forums/%D7%92%D7%90%D7%95%D7%95%D7%94-%D7%91%D7%97%D7%95-%D7%9C.1101/,2.7K,15.6K
טרנסג'נדרס וחברים,https://example.com/forums/%D7%98%D7%A8%D7%A0%D7%A1%D7%92%D7%A0%D7%93%D7%A8%D7%A1-%D7%95%D7%97%D7%91%D7%A8%D7%99%D7%9D.1102/,4.8K,37.7K
דובים גאים,https://example.com/forums/%D7%93%D7%95%D7%91%D7%99%D7%9D-%D7%92%D7%90%D7%99%D7%9D.1103/,2.6K,12.4K
גאווה צעירה,https://example.com/forums/%D7%92%D7%90%D7%95%D7%95%D7%94-%D7%A6%D7%A2%D7%99%D7%A8%D7%94.1104/,9.1K,143.9K
לסביות - גאווה נשית,https://example.com/forums/%D7%9C%D7%A1%D7%91%D7%99%D7%95%D7%AA-%D7%92%D7%90%D7%95%D7%95%D7%94-%D7%A0%D7%A9%D7%99%D7%AA.1105/,10.8K,125.8K
הצבעים שלנו,https://example.com/forums/%D7%94%D7%A6%D7%91%D7%A2%D7%99%D7%9D-%D7%A9%D7%9C%D7%A0%D7%95.1106/,1.8K,8.5K
הומואים דתיים,https://example.com/forums/%D7%94%D7%95%D7%9E%D7%95%D7%90%D7%99%D7%9D-%D7%93%D7%AA%D7%99%D7%99%D7%9D.1107/,10.9K,84.8K
פרסיליה היקרה,https://example.com/forums/%D7%A4%D7%A8%D7%A1%D7%99%D7%9C%D7%99%D7%94-%D7%94%D7%99%D7%A7%D7%A8%D7%94.1108/,49,373
לסביות 30+,https://example.com/forums/%D7%9C%D7%A1%D7%91%D7%99%D7%95%D7%AA-30.1109/,4.9K,26.4K
הורים לגאים וגאות,https://example.com/forums/%D7%94%D7%95%D7%A8%D7%99%D7%9D-%D7%9C%D7%92%D7%90%D7%99%D7%9D-%D7%95%D7%92%D7%90%D7%95%D7%AA.1110/,174,1K
לסביות (בארון) נשואות לגבר,https://example.com/forums/%D7%9C%D7%A1%D7%91%D7%99%D7%95%D7%AA-%D7%91%D7%90%D7%A8%D7%95%D7%9F-%D7%A0%D7%A9%D7%95%D7%90%D7%95%D7%AA-%D7%9C%D7%92%D7%91%D7%A8.1111/,4.1K,13.5K
תרבות,https://example.com/categories/%D7%AA%D7%A8%D7%91%D7%95%D7%AA.1112/,23.9K,119.2K
תמיכה,https://example.com/categories/%D7%AA%D7%9E%D7%99%D7%9B%D7%94.1118/,3.8K,24.2K
גורדי שחקים,https://example.com/forums/%D7%92%D7%95%D7%A8%D7%93%D7%99-%D7%A9%D7%97%D7%A7%D7%99%D7%9D.1122/,5.9K,45.2K
HOT סילבסטר,https://example.com/forums/hot-%D7%A1%D7%99%D7%9C%D7%91%D7%A1%D7%98%D7%A8.1123/,79,1.4K
sprite way,https://example.com/forums/sprite-way.1124/,546,1.1K
הימורים,https://example.com/forums/%D7%94%D7%99%D7%9E%D7%95%D7%A8%D7%99%D7%9D.1125/,89,271
תפוז TV,https://example.com/forums/%D7%AA%D7%A4%D7%95%D7%96-tv.1126/,246,1K
המסע האתגרי של XTrip,https://example.com/forums/%D7%94%D7%9E%D7%A1%D7%A2-%D7%94%D7%90%D7%AA%D7%92%D7%A8%D7%99-%D7%A9%D7%9C-xtrip.1127/,40,46
1100 To Go,https://example.com/forums/1100-to-go.1128/,520,3.7K
טיולים ומסעות,https://example.com/categories/%D7%98%D7%99%D7%95%D7%9C%D7%99%D7%9D-%D7%95%D7%9E%D7%A1%D7%A2%D7%95%D7%AA.1129/,87.4K,460.2K
תחביבים,https://example.com/categories/%D7%AA%D7%97%D7%91%D7%99%D7%91%D7%99%D7%9D.1144/,378.2K,2.8M
המומחים,https://example.com/categories/%D7%94%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D.1183/,74,78
לקראת שירות,https://example.com/categories/%D7%9C%D7%A7%D7%A8%D7%90%D7%AA-%D7%A9%D7%99%D7%A8%D7%95%D7%AA.1186/,151.1K,1.1M
שירות פעיל,https://example.com/categories/%D7%A9%D7%99%D7%A8%D7%95%D7%AA-%D7%A4%D7%A2%D7%99%D7%9C.1192/,99.5K,959.4K
משפחה,https://example.com/categories/%D7%9E%D7%A9%D7%A4%D7%97%D7%94.1198/,5.3K,44.5K
משוחררים,https://example.com/categories/%D7%9E%D7%A9%D7%95%D7%97%D7%A8%D7%A8%D7%99%D7%9D.1203/,3.1K,10.5K
מי יפיל את המאסטר,https://example.com/forums/%D7%9E%D7%99-%D7%99%D7%A4%D7%99%D7%9C-%D7%90%D7%AA-%D7%94%D7%9E%D7%90%D7%A1%D7%98%D7%A8.1316/,1,1
טיולים לנכים,https://example.com/forums/%D7%98%D7%99%D7%95%D7%9C%D7%99%D7%9D-%D7%9C%D7%A0%D7%9B%D7%99%D7%9D.1317/,2,2
"נסיעות עסקיות, תערוכות וכנסים",https://example.com/forums/%D7%A0%D7%A1%D7%99%D7%A2%D7%95%D7%AA-%D7%A2%D7%A1%D7%A7%D7%99%D7%95%D7%AA-%D7%AA%D7%A2%D7%A8%D7%95%D7%9B%D7%95%D7%AA-%D7%95%D7%9B%D7%A0%D7%A1%D7%99%D7%9D.1318/,3,3
עיצוב וסטייל,https://example.com/categories/%D7%A2%D7%99%D7%A6%D7%95%D7%91-%D7%95%D7%A1%D7%98%D7%99%D7%99%D7%9C.1319/,73.4K,1.5M
טיפוח ויופי,https://example.com/categories/%D7%98%D7%99%D7%A4%D7%95%D7%97-%D7%95%D7%99%D7%95%D7%A4%D7%99.1336/,60.4K,546.1K
יחסים,https://example.com/categories/%D7%99%D7%97%D7%A1%D7%99%D7%9D.1361/,41.9K,648.9K
טיפול,https://example.com/categories/%D7%98%D7%99%D7%A4%D7%95%D7%9C.1365/,14.3K,111.3K
סקס,https://example.com/categories/%D7%A1%D7%A7%D7%A1.1349/,212K,3.8M
חוזרים בתשובה-תמיכה,https://example.com/forums/%D7%97%D7%95%D7%96%D7%A8%D7%99%D7%9D-%D7%91%D7%AA%D7%A9%D7%95%D7%91%D7%94-%D7%AA%D7%9E%D7%99%D7%9B%D7%94.1369/,16.4K,93.8K
לשאול את הרב,https://example.com/forums/%D7%9C%D7%A9%D7%90%D7%95%D7%9C-%D7%90%D7%AA-%D7%94%D7%A8%D7%91.1370/,12.7K,63.2K
העולם החרדי,https://example.com/forums/%D7%94%D7%A2%D7%95%D7%9C%D7%9D-%D7%94%D7%97%D7%A8%D7%93%D7%99.1371/,69K,688.6K
חדשות חרדים,https://example.com/forums/%D7%97%D7%93%D7%A9%D7%95%D7%AA-%D7%97%D7%A8%D7%93%D7%99%D7%9D.1372/,104.3K,181K
שידוכים - חרדים,https://example.com/forums/%D7%A9%D7%99%D7%93%D7%95%D7%9B%D7%99%D7%9D-%D7%97%D7%A8%D7%93%D7%99%D7%9D.1373/,12.1K,206.3K
נוער חרדי,https://example.com/forums/%D7%A0%D7%95%D7%A2%D7%A8-%D7%97%D7%A8%D7%93%D7%99.1374/,15.2K,215.6K
"צעירי ש""ס",https://example.com/forums/%D7%A6%D7%A2%D7%99%D7%A8%D7%99-%D7%A9-%D7%A1.1375/,115,479
קבלה בראי היהדות,https://example.com/forums/%D7%A7%D7%91%D7%9C%D7%94-%D7%91%D7%A8%D7%90%D7%99-%D7%94%D7%99%D7%94%D7%93%D7%95%D7%AA.1376/,477,3.7K
